hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1555.0,3731.0,3221.0,2767.0,3025.0,3254.0,2487.0,4095.0,2.83,8.92,2.08,-0.09,-0.06,0.08,j
1553.0,3738.0,3216.0,2735.0,3021.0,3258.0,2503.0,4095.0,2.83,9.07,2.12,0.1,0.0,0.05,j
1562.0,3730.0,3235.0,2737.0,3035.0,3248.0,2479.0,4095.0,2.94,9.02,1.85,-0.07,-0.12,0.07,j
1552.0,3729.0,3215.0,2746.0,3035.0,3249.0,2491.0,4095.0,3.34,8.82,1.95,0.07,0.01,0.15,j
1533.0,3718.0,3207.0,2736.0,3021.0,3249.0,2480.0,4095.0,3.37,9.06,1.2,-0.19,-0.06,0.11,j
1503.0,3698.0,3191.0,2721.0,3006.0,3234.0,2456.0,4095.0,4.92,8.78,2.13,-0.3,-0.28,0.26,j
1507.0,3673.0,3190.0,2732.0,2993.0,3193.0,2451.0,4095.0,7.34,8.57,1.86,-0.47,0.06,-0.73,j
1459.0,3628.0,3126.0,2870.0,2951.0,3239.0,2382.0,4095.0,6.83,8.03,0.2,-1.2,-0.39,-2.55,j
1722.0,3583.0,3132.0,2795.0,3034.0,3103.0,2387.0,4095.0,8.23,6.09,-1.27,-3.04,-0.76,-6.18,j
1607.0,3559.0,3143.0,2782.0,3033.0,3110.0,2418.0,4095.0,-0.47,0.33,-3.53,-5.65,-0.3,-6.61,j
1594.0,3554.0,3139.0,2903.0,2915.0,3071.0,2393.0,4095.0,-3.9,-3.94,-1.54,-7.73,1.89,-5.11,j
1599.0,3751.0,3114.0,3059.0,2988.0,3062.0,2384.0,4095.0,-10.51,-10.88,-1.64,-8.43,4.32,-3.37,j
1499.0,3959.0,3094.0,2752.0,2948.0,3051.0,2384.0,4095.0,-17.82,-14.88,1.78,-7.67,3.85,-0.61,j
1611.0,4095.0,3104.0,2790.0,3053.0,3082.0,2370.0,4095.0,-29.54,-14.39,3.3,-3.37,0.67,4.98,j
4063.0,4095.0,3082.0,2598.0,2903.0,3028.0,2267.0,4095.0,-21.75,-6.6,2.56,-2.46,2.75,8.05,j
1625.0,4095.0,3129.0,2786.0,3017.0,3139.0,2371.0,4095.0,-10.34,-6.53,3.78,0.16,-3.91,8.73,j
1587.0,4095.0,3138.0,2640.0,2910.0,3170.0,2363.0,4095.0,-2.75,1.46,1.66,1.53,-1.99,7.36,j
1585.0,4021.0,3055.0,2649.0,2922.0,3151.0,2367.0,4095.0,0.04,7.73,-0.15,0.6,-0.96,4.59,j
1510.0,4041.0,3123.0,2649.0,2919.0,3159.0,2357.0,4095.0,5.17,3.83,4.25,-0.38,-1.3,2.4,j
1507.0,4014.0,3118.0,2581.0,2847.0,3152.0,2370.0,4095.0,1.42,5.94,4.49,0.25,-0.27,0.83,j
1494.0,3891.0,3081.0,2886.0,3021.0,3114.0,2401.0,4095.0,3.05,8.59,3.31,-0.07,-0.09,0.03,j
1509.0,3908.0,3088.0,2777.0,3023.0,3107.0,2407.0,4095.0,3.66,8.39,3.46,-0.02,0.01,0.16,j
1515.0,3888.0,3081.0,2806.0,3035.0,3126.0,2416.0,4095.0,3.65,8.34,2.97,-0.05,-0.26,0.09,j
1517.0,3901.0,3088.0,2781.0,3037.0,3130.0,2416.0,4095.0,4.41,8.41,2.38,-0.28,-0.19,-0.14,j
1526.0,3872.0,3098.0,2768.0,3031.0,3121.0,2419.0,4095.0,4.89,8.45,1.82,-0.85,-0.25,-0.84,j
1488.0,3755.0,2961.0,2881.0,3009.0,3083.0,2377.0,4095.0,5.71,8.72,1.99,-1.58,-0.39,-2.29,j
1933.0,3787.0,3024.0,2838.0,3049.0,3143.0,2487.0,4095.0,5.14,6.78,0.21,-4.09,-0.44,-4.3,j
1720.0,3775.0,3183.0,3120.0,3152.0,3740.0,2852.0,4095.0,3.23,2.85,1.4,-5.68,-0.26,-3.92,j
1780.0,4095.0,3101.0,3203.0,3195.0,3146.0,2672.0,4095.0,-3.05,0.05,1.95,-6.91,3.63,-3.2,j
1871.0,4095.0,3089.0,2789.0,2955.0,3115.0,2782.0,4095.0,-6.05,-3.66,2.48,-7.47,3.65,-0.77,j
1688.0,4095.0,3061.0,2789.0,2925.0,3335.0,2799.0,4095.0,-12.83,-8.88,0.58,-8.32,4.59,1.67,j
1502.0,4095.0,3277.0,2863.0,2960.0,3323.0,3137.0,4095.0,-17.64,-11.62,4.26,-6.0,4.07,4.37,j
1380.0,4095.0,3060.0,2809.0,2918.0,3209.0,2476.0,4095.0,-15.11,-5.37,1.14,-3.2,4.02,4.85,j
1361.0,4095.0,3050.0,2743.0,2884.0,3308.0,2544.0,4095.0,-12.33,-1.89,0.05,-2.18,1.7,3.75,j
1968.0,4095.0,3029.0,2826.0,2941.0,3141.0,2498.0,4095.0,-10.93,0.02,0.5,-0.88,1.23,3.44,j
